title,url,date
Announcement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-operation290825,2025-08-29
"Joint Statement from Prime Minister Benjamin Netanyahu and Cindy McCain, Executive Director of the World Food Programme",https://www.gov.il/en/pages/spoke-statement280825,2025-08-28
"PM Netanyahu in Julis: ""I am not naïve. I understand who and what we are dealing with. I told President Trump: We both believe in the same idea – it is called peace through strength. First comes strength; peace will follow.""",https://www.gov.il/en/pages/event-north280825,2025-08-28
PM Netanyahu Meets with Be'er Sheva Mayor Rubik Danilovich,https://www.gov.il/en/pages/event-meet270825,2025-08-27
Prime Minister’s Office Statement,https://www.gov.il/en/pages/spoke-hospital250825,2025-08-25
PM Netanyahu meets US Senator Ernst,https://www.gov.il/en/pages/event-congress250825,2025-08-25
Statement from the Prime Minister's Office,https://www.gov.il/en/pages/spoke-lebanon250825,2025-08-25
Statement by Prime Minister Netanyahu,https://www.gov.il/en/pages/event-joint-statement240825,2025-08-24
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-statement220825,2025-08-22
PM Netanyahu at the Gaza Division,https://www.gov.il/en/pages/event-visit21082,
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-return210825,2025-08-21
PM's Office Announcement on behalf of Coordinator for the Hostages and the Missing Brig.-Gen. (Res.) Gal Hirsch,https://www.gov.il/en/pages/spoke-imprisoned210825,2025-08-21
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-schedules200825,2025-08-20
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-sanctions200825,2025-08-20
"PM Netanyahu: ""I spoke with the Defense Minister and the IDF about our plans regarding Gaza City and the completion of our missions. Hamas is under immense pressure.""",https://www.gov.il/en/pages/spoke-visit180825,2025-08-18
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start170825,2025-08-17
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-statement140825,2025-08-14
PM Netanyahu to the Ultra-Orthodox Fighters of the Border Police Avnet Company,https://www.gov.il/en/pages/event-visit140825,2025-08-14
PM Netanyahu's Remarks at the US Independence Day Reception Hosted by Newsmax,https://www.gov.il/en/pages/event-newsmax140825,2025-08-14
A message from Prime Minister Netanyahu to the people of Iran,https://www.gov.il/en/pages/spoke-message120825,2025-08-12
PM Netanyahu and his wife participated in the dedication of the Knesset Museum,https://www.gov.il/en/pages/event-knesset110825,2025-08-11
PM Netanyahu Speaks with US President Donald Trump,https://www.gov.il/en/pages/spoke-trump100825,2025-08-10
PM Netanyahu at a press conference for foreign media,https://www.gov.il/en/pages/event-press-conference100825,2025-08-10
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-cabinet080825,2025-08-08
PM Netanyahu Meets with Indian Ambassador to Israel J.P. Singh,https://www.gov.il/en/pages/event-india070825,2025-08-07
PM Netanyahu Meets with US Congressional Republican Delegation,https://www.gov.il/en/pages/event-aipac060825,2025-08-06
PM's Office announcement,https://www.gov.il/en/pages/spoke-discussion050825,2025-08-05
PM Netanyahu meets with Speaker of the House Mike Johnson in Shilo,https://www.gov.il/en/pages/event-usa050825,2025-08-05
PM Netanyahu to IDF Armored Corps and Combat Engineering Recruits,https://www.gov.il/en/pages/event-recruitment050825,2025-08-05
Prime Minister's Office-Finance Ministry Joint Announcement,https://www.gov.il/en/pages/spoke-joint-statement040825,2025-08-04
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start040825,2025-08-04
PM Netanyahu speaks with the head of delegation for the ICRC,https://www.gov.il/en/pages/spoke-red-cross030825,2025-08-03
Prime Minister's Office announcement,https://www.gov.il/en/pages/spoke-families020825,2025-08-02
PM Netanyahu Meets with German Foreign Minister Johann Wadephul,https://www.gov.il/en/pages/event-wadephul310725,2025-07-31
Message from the National Security Council Reiterating the Travel Warning for Israelis in the United Arab Emirates,https://www.gov.il/en/pages/spoke-uae310725,2025-07-31
PM Netanyahu Currently Meeting with US Special Presidential Envoy to the Middle East Steve Witkoff,https://www.gov.il/en/pages/event-witkoff310725,2025-07-31
PM Netanyahu visited the Israel Prison Service (IPS) in appreciation for the activity of its guards and wardens both in time of routine and especially since the outbreak of the war,https://www.gov.il/en/pages/event-shabas300725,2025-07-30
Statement by PM Netanyahu to the Families of the Hostages,https://www.gov.il/en/pages/spoke-hostages290725,2025-07-29
Prime Minister's Office announcement,https://www.gov.il/en/pages/spoke-president280725,2025-07-28
PM Netanyahu visits the IDF Intelligence Directorate,https://www.gov.il/en/pages/event-intelbase280725,2025-07-28
PM Netanyahu visits Mitzpe Ramon,https://www.gov.il/en/pages/event-visit270725,2025-07-27
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-condolence270725,2025-07-27
PM Netanyahu meets with Sheikh Tarif,https://www.gov.il/en/pages/event-druze240725,2025-07-24
Statement from the Prime Minister's Office,https://www.gov.il/en/pages/spoke-statement170725,2025-07-17
Statement by Prime Minister Netanyahu,https://www.gov.il/en/pages/spoke-syria170725,2025-07-17
Statement by Prime Minister Netanyahu,https://www.gov.il/en/pages/spoke-syria160725,2025-07-16
Prime Minister Netanyahu's statement at the Hasmonean Brigade,https://www.gov.il/en/pages/event-hashmonaim150725,2025-07-15
Joint statement by PM Netanyahu and Defense Minister Israel Katz,https://www.gov.il/en/pages/spoke-joint150725,2025-07-15
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-condolences140725,2025-07-14
Prime Minister's Office announcement,https://www.gov.il/en/pages/event-visit110725,2025-07-11
PM Netanyahu's statement from Washington DC,https://www.gov.il/en/pages/spoke-summary100725,2025-07-10
Prime Minister's Office announcement,https://www.gov.il/en/pages/event-memory100725,2025-07-10
PM Netanyahu spoke with the head of the Gush Etzion Regional Council,https://www.gov.il/en/pages/spoke-etzion100725,2025-07-10
PM Netanyahu met with families of hostages,https://www.gov.il/en/pages/event-hostages100725,2025-07-10
PM's Office announcement,https://www.gov.il/en/pages/event-pentagon100725,2025-07-10
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-trump090725,2025-07-09
Statement by PM Netanyahu on Capitol Hill,https://www.gov.il/en/pages/event-statement080725,2025-07-08
"PM Netanyahu at the Signing of an MOU on Cooperation in Energy and AI: ""The future belongs to those who innovate. America and Israel are the prime innovation nations""",https://www.gov.il/en/pages/event-ai08072,
PM Netanyahu’s visit to the United States - July 2025,https://www.gov.il/en/pages/album-us-0725,
PM Netanyahu being Welcomed at the White House by US President Donald Trump,https://www.gov.il/en/pages/event-welcome080725,2025-07-08
PM meets with US Secretary of State Marco Rubio and US Special Presidential Envoy to the Middle East Steve Witkoff,https://www.gov.il/en/pages/event-rubio070725,2025-07-07
PM Nominates US President Donald Trump for the Nobel Peace Prize,https://www.gov.il/en/pages/spoke-nobel080725,2025-07-08
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-condolences080725,2025-07-08
Statement by PM Netanyahu upon Departing on his Diplomatic Visit to Washington,https://www.gov.il/en/pages/event-washington060725,2025-07-06
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-change060725,2025-07-06
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-aid060725,2025-07-06
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-antisemitism060725,2025-07-06
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-condolences040725,2025-07-04
PM Netanyahu and his wife Sara visited Ofakim,https://www.gov.il/en/pages/event-ofakim030725,2025-07-03
"PM Netanyahu at Kibbutz Nir Oz: ""I feel a deep commitment to ensure the return of all of our hostages and to working here to rebuild this kibbutz""",https://www.gov.il/en/pages/event-nir-oz030725,2025-07-03
PM Netanyahu Visits Mossad HQ,https://www.gov.il/en/pages/event-mosad030725,2025-07-03
PM Netanyahu at EAPC Facilities in Ashkelo,https://www.gov.il/en/pages/event-ashkelon020725,2025-07-02
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start010725,2025-07-01
PM Netanyahu met with the IDF General Staff Forum,https://www.gov.il/en/pages/event-forum300625,2025-06-30
"PM Netanyahu at ZAKA National HQ: ""I would like to express my deepest appreciation and that of very many among the people for your actions, in calmer times as well, but mainly in times of distress and pain.""",https://www.gov.il/en/pages/event-zaka262625,2025-26-26
"PM Netanyahu at the National Fire and Rescue Authority Headquarters: We rained down fire there, and you put out the fire here. We have a firefighting service to be proud of.""",https://www.gov.il/en/pages/event-fire260625,2025-06-26
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-opportunity260625,2025-06-26
PM Netanyahu visits the Magen David Adom Blood Bank,https://www.gov.il/en/pages/event-magen260625,2025-06-26
Statement by the Prime Minister's Office on behalf of the Israel Atomic Energy Commission,https://www.gov.il/en/pages/spoke-energy250625,2025-06-25
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start250625,2025-06-25
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-condolences250625,2025-06-25
Statement by PM Netanyahu,https://www.gov.il/en/pages/event-statement240625,2025-06-24
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-ceasefire240625,2025-06-24
Israeli Government Statement,https://www.gov.il/en/pages/spoke-message-gov240625,2025-06-24
"PM Netanyahu in Rishon LeZion: ""We are making a great effort to generously help however we can and to quickly cut through the bureaucracy""",https://www.gov.il/en/pages/event-rishon-lezion230625,2025-06-23
"PM Netanyahu at an Air Force Arrow unit: ""The objective – total victory; no less.""",https://www.gov.il/en/pages/event-air-force230625,2025-06-23
PM Netanyahu and his wife went to the Western Wall in Jerusalem,https://www.gov.il/en/pages/event-western-wall230625,2025-06-23
Photo of PM Netanyahu on the Phone with US President Donald Trump,https://www.gov.il/en/pages/event-trump230625,2025-06-23
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-operation220625,2025-06-22
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-trump220625,2025-06-22
PM Netanyahu visited an IDF Intelligence base,https://www.gov.il/en/pages/event-intelligence200625,2025-06-20
PM Netanyahu at the missile impact site at the Weizmann Institute in Rehovot,https://www.gov.il/en/pages/event-weitzmann200625,2025-06-20
PM Netanyahu at the Soroka Medical Center,https://www.gov.il/en/pages/event-soroka190625,2025-06-19
PM Netanyahu Meeting with MKs Benny Gantz and Avigdor Liberman,https://www.gov.il/en/pages/event-meeting190625,2025-06-19
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/event-updating180525,2025-05-18
PM Netanyahu Meets with President Isaac Herzog,https://www.gov.il/en/pages/event-hertzog170625,2025-06-17
PM Netanyahu Meets with Leader of the Opposition MK Yair Lapid,https://www.gov.il/en/pages/event-meeting170625,2025-06-17
PM Netanyahu visited the Tel Nof Air Force Base,https://www.gov.il/en/pages/event-air-force160625,2025-06-16
Statement by Prime Minister Benjamin Netanyahu,https://www.gov.il/en/pages/spoke-updating150625,2025-06-15
PM Netanyahu in Bat Yam,https://www.gov.il/en/pages/event-batyam150625,2025-06-15
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-statment140625,2025-06-14
PM Netanyahu spoke with the mayors of Rishon LeZion Tel Aviv and Ramat Gan,https://www.gov.il/en/pages/spoke-condolence140625,2025-06-14
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-conversation130625,2025-06-13
PM Netanyahu addresses the Iranian people,https://www.gov.il/en/pages/spoke-iranian-people130625,2025-06-13
Statement by PM Netanyahu,https://www.gov.il/en/pages/statement130625,2025-06-13
Statement by PM Netanyahu,https://www.gov.il/en/pages/pm-update130625,2025-06-13
PM Netanyahu's Remarks at the Signing of MOUs with Argentine President Javier Milei,https://www.gov.il/en/pages/event-argentina120625,2025-06-12
PM Netanyahu met with Argentine President Javier Milei,https://www.gov.il/en/pages/event-argentina100625,2025-06-10
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-sanaa280525,2025-05-28
PM Netanyahu’s Speech at the International Holocaust Remembrance Alliance (IHRA) Conference,https://www.gov.il/en/pages/event-ihra270525,2025-05-27
PM Netanyahu Meets with US Congressional Delegation,https://www.gov.il/en/pages/event-yes270525,2025-05-27
PM Netanyahu and his Wife Meet with US Senator Dave McCormick and his Wife Dina Habib Powell,https://www.gov.il/en/pages/event-senator260525,2025-05-26
"Prime Minister Benjamin Netanyahu at Mamilla Pool: ""At the same time as the difficult campaign, we are building our country. Mamilla Pool will be a global attraction."" Prime Minister Benjamin Netanyahu, together with Jerusalem Mayor Moshe Lion, visited",https://www.gov.il/en/pages/event-mamilla260525,2025-05-26
PM Netanyahu Meets with US Homeland Security Secretary Kristi Noem and with US Senator Jacky Rosen,https://www.gov.il/en/pages/event-us250525,2025-05-25
"The National Security Council sends a message to Israelis in Canada, urging them to exercise increased precaution",https://www.gov.il/en/pages/spoke-canada250525,2025-05-25
PM Netanyahu Decides to Appoint Maj.-Gen. David Zini as the next Director of the ISA,https://www.gov.il/en/pages/spoke-appointment220525,2025-05-22
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-attack220525,2025-05-22
PM Netanyahu Speaks with US President Donald Trump,https://www.gov.il/en/pages/spoke-phone220525,2025-05-22
"PM Netanyahu Speaks with the Parents of Yaron Lischinsky and Sarah Milgrim, and with US Attorney General Pam Bondi",https://www.gov.il/en/pages/spoke-condolence220525,2025-05-22
PM Netanyahu Speaks with US Attorney General Pam Bondi,https://www.gov.il/en/pages/spoke-us220525,2025-05-22
Statement by Prime Minister Netanyahu,https://www.gov.il/en/pages/event-press-conference210525,2025-05-21
PM Netanyahu Speaks with Eurovision 2nd Place Winner Yuval Raphael,https://www.gov.il/en/pages/spoke-eurovision210525,2025-05-21
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-pm200525,2025-05-20
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-statement190525,2025-05-19
"PM Office-Mossad: 60 Years after his Execution: Approximately 2,500 Documents, Photographs and Personal Items of Mossad Agent Eli Cohen are brought to Israel in a Covert Mossad Operation",https://www.gov.il/en/pages/spoke-institution180525,2025-05-18
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-announcement140525,2025-05-14
PM Netanyahu Meets with German President Frank-Walter Steinmeier,https://www.gov.il/en/pages/event-germany130525,2025-05-13
PM Netanyahu Speaks with Edan Alexander and US Envoy Steve Witkoff,https://www.gov.il/en/pages/spoke-alexander130525,2025-05-13
Edan Alexander during his emotional reunion with his family,https://www.gov.il/en/pages/event-idan120525,2025-05-12
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-idan120525,2025-05-12
The Prime Minister's Office,https://www.gov.il/en/pages/spoke-emissary120525,2025-05-12
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoka-liberation120525,2025-05-12
"PM Netanyahu to German Foreign Minister Johann Wadephul: ""We'll make our partnership even stronger.""",https://www.gov.il/en/pages/event-germany110525,2025-05-11
PM Netanyahu's Remarks at the Start of the Government Meeting,https://www.gov.il/en/pages/spoke-start110525,2025-05-11
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-special110525,2025-05-11
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-alexander110525,2025-05-11
"PM Netanyahu at the 5th Brigade training exercise in Tze'elim: ""To Hamas I say one thing: The rules are about to change very soon""",https://www.gov.il/en/pages/event-visit080525,2025-05-08
Message from the National Security Council to Israelis traveling to the Eurovision Song Contest in Switzerland,https://www.gov.il/en/pages/spoke-eurovision080525,2025-05-08
PM Netanyahu Speaks with Russian President Vladimir Putin,https://www.gov.il/en/pages/spoke-phone060525,2025-05-06
Joint Statement by PM Netanyahu and Defense Minister Israel Katz,https://www.gov.il/en/pages/spoke-joint060525,2025-05-06
PM Netanyahu at the Air Force Command Center during the Attack on Houthi Terrorist Targets in Yemen,https://www.gov.il/en/pages/event-pm050525,2025-05-05
PM Netanyahu Meets with Ecuadorian President Daniel Noboa,https://www.gov.il/en/pages/event-ecuador050525,2025-05-05
Joint Prime Minister's Office-Energy Ministry Announcement,https://www.gov.il/en/pages/event-common040525,2025-05-04
PM Netanyahu Meets with Cypriot President Nikos Christodoulides,https://www.gov.il/en/pages/event-cyprus040525,2025-05-04
"PM Netanyahu Speaks with the Spiritual Leader of the Druze Community in Israel, Sheikh Mowafaq Tarif",https://www.gov.il/en/pages/spoke-tariff020525,2025-05-02
Remarks by PM Netanyahu at the 2025 International Bible Quiz,https://www.gov.il/en/pages/event-bible010525,2025-05-01
Remarks by PM Netanyahu in Celebration of the 77th Independence Day of the State of Israel,https://www.gov.il/en/pages/event-iday300425,2025-04-30
National Security Council Holds Situation Assistance to Advance the International Assistance,https://www.gov.il/en/pages/spoke-fire-b300425,2025-04-30
"Joint Announcement: Prime Minister's Office, National Security Ministry and Ministry of Foreign Affairs",https://www.gov.il/en/pages/spoke-joint300425,2025-04-30
PM Netanyahu Holding Updates and Consultations on the Fire,https://www.gov.il/en/pages/spoke-fire-a300425,2025-04-30
PM Netanyahu and his wife together with Transportation and Road Safety Minister Miri Regev met with the torchbearers for the State of Israel's 77th Independence Day,https://www.gov.il/en/pages/meeting290425,2025-04-29
PM Netanyahu Meets with a Delegation of Ambassadors to the UN,https://www.gov.il/en/pages/event-ambassador270425,2025-04-27
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-druze250425,2025-04-25
PM Netanyahu Meets with Bipartisan US Congressional Delegation led by House Minority Leader Hakeem Jeffries,https://www.gov.il/en/pages/event-congress240425,2025-04-24
PM Netanyahu Speaks with Indian Prime Minister Narendra Modi,https://www.gov.il/en/pages/spoke-india240425,2025-04-24
PM Netanyahu at the Knesset’s “Unto Every Person There is a Name” Ceremony on Holocaust Martyrs' and Heroes' Remembrance Day,https://www.gov.il/en/pages/event-ceremony240425,2025-04-24
PM Netanyahu's Remarks at the Fire Management Forward Command Post,https://www.gov.il/en/pages/spoke-fire230425,2025-04-23
PM Netanyahu Meets with US Senator Bernie Moreno and with US Ambassador to Israel Mike Huckabee,https://www.gov.il/en/pages/event-meet220425,2025-04-22
Statement by PM Netanyahu,https://www.gov.il/en/pages/spoke-statment190425,2025-04-19
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-iran170425,2025-04-17
PM Netanyahu Holds Assessment on the Hostages Issue,https://www.gov.il/en/pages/spoke-assessment160425,2025-04-16
PM Netanyahu Meets with US Senator Joni Ernst and US Rep. Debbie Wasserman Schultz,https://www.gov.il/en/pages/event-congress160425,2025-04-16
PM Netanyahu Congratulates Hapoel Tel Aviv Basketball Team on Winning the Eurocup,https://www.gov.il/en/pages/spoke-hapoel150425,2025-04-15
PM Netanyahu visited the northern Gaza Strip,https://www.gov.il/en/pages/event-north150425,2025-04-15
PM Netanyahu spoke with the President of France Emmanuel Macron,https://www.gov.il/en/pages/spoke-macron150425,2025-04-15
PM Netanyahu's Passover Greetings,https://www.gov.il/en/pages/spoke-toast110425,2025-04-11
Prime Minister's Office Announcement,https://www.gov.il/en/pages/spoke-delegation100425,2025-04-10
Prime Minister's Office Statement,https://www.gov.il/en/pages/spoke-updating100425,2025-04-10
PM Netanyahu Meets with CIA Director John Ratcliffe,https://www.gov.il/en/pages/event-cia-meeting090425,2025-04-09
PM Netanyahu's Remarks before Returning to Israel,https://www.gov.il/en/pages/spoke-flight080425,2025-04-08
PM Netanyahu's Remarks at the Start of his Meeting with US President Donald Trump in the Oval Office at the White House,https://www.gov.il/en/pages/event-meet080425,2025-04-08
PM Netanyahu Meets with US Vice President JD Vance,https://www.gov.il/en/pages/event-vpotus080425,2025-04-08
PM Netanyahu Meets with US Special Presidential Envoy to the Middle East Steve Witkoff,https://www.gov.il/en/pages/event-witkoff070425,2025-04-07
PM Netanyahu and his wife Sara upon Landing in Washington,https://www.gov.il/en/pages/event-arrivel070425,2025-04-07
PM Netanyahu Meets with US Commerce Secretary Howard Lutnick and US Trade Representative Jamieson Greer,https://www.gov.il/en/pages/event-trade070425,2025-04-07
Statement by PM Netanyahu,https://www.gov.il/en/pages/event-visit060425,2025-04-06
PM Netanyahu Meets with Hungarian Minister of Foreign Affairs and Trade Peter Szijjarto and a Forum of Senior Local Businesspeople,https://www.gov.il/en/pages/event-budapest060425,2025-04-06
PM Netanyahu Receives Honorary Doctorate from the University of Public Service in Budapest,https://www.gov.il/en/pages/event-university060425,2025-04-06
PM Netanyahu to Meet with US President Donald Trump,https://www.gov.il/en/pages/spoke-washington050425,2025-04-05
PM Netanyahu and his wife visited the Shoes on the Danube Promenade memorial in Budapest together with Hungary's PM Viktor Orbán and his wife,https://www.gov.il/en/pages/event-danova040425,2025-04-04
PM Netanyahu and his wife Sara Netanyahu met earlier in Budapest with the leadership of Hungary's Jewish community,https://www.gov.il/en/pages/event-budapest040425,2025-04-04
Remarks by PM Netanyahu at the Joint Statements with Hungarian PM Viktor Orban in Budapest,https://www.gov.il/en/pages/event-statements030425,2025-04-03
PM Netanyahu Welcomed by Hungarian Prime Minister Viktor Orban,https://www.gov.il/en/pages/event-hpm030425,2025-04-03
PM Netanyahu Arrives in Hungary,https://www.gov.il/en/pages/spoke-hungary030425,2025-04-03
Prime Minister Netanyahu's statement,https://www.gov.il/en/pages/spoke-army020425,2025-04-02
PM Netanyahu meets with OECD Secretary General Mathias Cormann,https://www.gov.il/en/pages/event-oecd010425,2025-04-01
Joint PM's Office Finance Ministry and Economy and Industry Ministry Announcement,https://www.gov.il/en/pages/spoke-joint010425,2025-04-01
